crop,temperature,humidity,rainfall,wind_speed,pressure,cloud_cover,soil_pH,nitrogen,phosphorus,potassium,organic_matter,season,month,success
Rice,26.1,74.4,7.45,14.8,1018.6,94.5,6.72,0,1,0,1.52,1,9,1
Soybean,29.0,37.9,2.12,10.0,1012.7,39.2,8.56,2,2,1,1.88,1,12,1
Rice,29.1,77.6,7.93,7.9,1020.8,50.0,6.28,1,0,1,1.85,0,12,1
Sugarcane,31.2,56.2,3.47,5.1,1020.1,73.2,6.94,0,0,1,1.94,2,5,0
Groundnut,25.1,98.3,2.09,3.1,1010.5,52.7,6.46,2,1,2,0.7,0,3,1
Wheat,19.4,52.3,4.53,8.4,1008.0,32.1,7.47,0,1,1,2.94,0,11,0
Pulses,18.8,43.6,0.0,6.7,1011.9,88.0,6.33,1,2,1,2.97,2,2,1
Rice,29.2,50.9,11.17,3.2,1005.8,1.8,5.75,0,1,1,1.57,2,7,0
Wheat,25.1,45.5,7.67,12.5,1009.9,74.9,6.86,2,2,2,0.97,0,12,0
Jowar,26.2,85.2,3.83,12.9,1010.6,98.5,5.76,0,1,0,1.23,1,8,1
Bajra,30.1,37.7,0.0,10.8,1012.7,38.8,8.08,1,2,1,1.31,1,4,1
Groundnut,23.3,71.7,4.16,4.1,1000.9,16.0,7.03,2,2,2,1.92,0,5,1
Maize,26.7,63.9,4.1,2.8,1010.1,53.0,5.8,2,1,0,1.32,0,2,1
Soybean,21.2,63.3,0.0,13.9,1016.8,11.5,8.36,2,2,1,2.26,2,9,1
Sugarcane,31.0,52.3,1.58,3.3,1012.9,16.2,7.52,2,0,1,2.01,2,1,1
Rice,29.4,90.5,7.46,2.2,1009.9,11.5,6.59,0,2,0,1.76,0,12,1
Bajra,31.2,42.1,0.79,6.2,1008.8,70.7,7.42,2,1,2,2.95,0,3,1
Jowar,22.5,56.5,1.87,13.3,1011.6,35.5,7.76,1,2,2,2.8,0,8,0
Groundnut,29.5,73.6,0.94,5.2,1008.6,71.6,7.63,0,1,1,1.81,1,11,1
Maize,25.2,63.0,7.0,5.0,1010.5,44.0,6.03,2,0,0,2.01,0,11,1
Wheat,23.5,58.1,5.82,3.0,1008.3,4.3,7.02,0,1,2,1.88,2,5,0
Soybean,33.4,74.1,5.47,13.3,1015.6,2.0,6.55,0,0,0,2.72,1,4,1
Rice,29.1,82.4,7.1,5.1,1011.2,94.9,7.19,0,0,0,0.72,2,1,1
Cotton,28.1,64.1,4.38,4.8,1013.2,77.2,7.45,1,2,2,2.27,0,1,1
Pulses,21.1,43.8,7.04,4.5,1013.7,2.7,7.15,0,0,2,2.89,0,2,0
Bajra,30.0,34.9,1.72,8.6,1015.9,12.5,6.8,0,1,1,1.09,1,6,1
Maize,20.7,71.4,2.48,2.8,1018.1,85.8,5.99,1,2,0,1.79,2,5,0
Groundnut,28.0,82.3,6.92,5.0,1009.5,57.3,6.62,1,2,1,2.87,0,8,1
Cotton,33.7,77.5,0.0,8.1,1011.7,69.1,6.63,0,2,1,0.91,0,11,1
Jowar,26.4,89.0,4.84,8.8,1009.7,70.7,6.48,1,1,1,0.61,2,10,0
Wheat,39.9,54.2,5.42,13.5,1017.7,76.7,7.45,0,1,1,2.97,2,5,0
Soybean,35.5,59.9,7.89,8.0,1011.9,69.6,8.19,2,1,1,2.73,0,11,1
Wheat,19.4,64.6,0.16,12.8,1012.4,31.0,6.69,0,0,0,1.8,0,5,1
Groundnut,30.8,63.8,5.39,10.3,1011.3,89.3,7.35,0,0,2,1.08,1,11,0
Sugarcane,24.7,38.9,4.59,10.8,1005.3,78.3,7.7,0,0,2,1.64,1,9,1
Pulses,21.2,55.5,0.58,10.7,1005.0,19.4,6.55,0,0,0,0.6,2,7,1
Wheat,21.9,54.8,1.31,13.1,1005.9,77.0,6.62,1,0,2,2.88,2,3,1
Bajra,25.3,44.6,0.6,12.2,1017.8,19.2,7.91,2,0,1,1.1,2,10,1
Groundnut,34.4,47.4,1.56,2.0,1019.6,91.8,8.46,1,1,2,2.13,0,6,0
Sugarcane,27.3,60.3,0.86,12.0,1010.5,28.5,7.94,1,1,1,2.17,1,5,1
Groundnut,30.2,36.4,3.38,7.0,1019.1,82.4,6.64,0,0,0,0.68,2,12,1
Cotton,32.3,43.9,4.53,14.0,1017.5,58.7,8.02,1,0,2,1.66,1,7,1
Maize,26.9,72.1,6.35,3.8,1006.9,85.6,6.39,2,2,0,2.61,2,5,1
Pulses,19.8,69.6,4.16,5.3,1019.0,77.1,6.71,2,2,1,2.78,2,9,1
Cotton,27.2,58.7,4.68,2.3,1008.4,52.0,6.66,1,0,1,2.05,2,8,1
Pulses,30.1,58.4,1.14,7.0,1011.2,88.9,7.92,0,2,2,0.82,2,6,1
Groundnut,21.4,61.5,0.0,8.8,1022.4,35.6,6.75,1,1,0,2.02,2,11,0
Groundnut,30.3,78.1,2.78,12.6,1018.8,20.5,7.0,1,1,0,0.66,2,7,1
Rice,21.9,66.1,7.21,5.7,1016.3,35.0,6.52,1,0,1,1.08,1,10,1
Jowar,32.4,57.7,0.0,6.0,1014.9,93.6,6.62,1,1,1,1.44,1,3,1
Wheat,19.9,49.2,0.0,2.8,1016.3,47.0,7.53,1,1,2,1.24,1,9,1
Pulses,28.5,44.0,1.84,11.5,1009.7,22.9,7.69,2,2,0,1.71,0,10,1
Pulses,25.2,61.7,3.6,9.5,1004.0,70.6,5.64,2,2,1,2.14,1,4,1
Maize,29.6,59.2,3.29,8.0,1004.7,44.5,6.03,1,0,1,2.42,2,6,1
Soybean,16.5,51.1,3.05,13.0,1017.0,60.9,6.86,1,1,0,0.91,2,3,1
Soybean,29.2,49.8,1.5,5.1,1014.4,7.5,7.5,1,2,2,1.13,2,9,0
Pulses,27.9,56.6,6.71,5.8,1011.2,46.3,7.6,0,0,0,2.95,2,5,1
Wheat,21.8,64.9,1.53,3.5,1019.7,58.6,6.41,2,2,1,2.48,0,7,1
Rice,27.2,64.9,7.61,3.3,1010.0,11.0,5.83,1,0,1,0.71,2,8,0
Jowar,25.5,67.2,3.18,7.6,1009.3,48.6,6.73,1,1,2,0.96,1,12,0
Jowar,25.9,60.3,1.79,11.7,1011.6,85.8,5.47,2,0,2,1.74,2,9,1
Groundnut,25.1,62.4,2.98,9.6,1006.2,42.4,7.59,1,2,0,1.65,1,5,0
Soybean,24.2,60.9,2.17,13.8,1016.3,91.8,7.55,1,0,1,2.15,1,2,0
Cotton,26.5,74.0,1.69,3.7,1020.2,61.0,7.35,2,0,2,1.23,0,11,1
Maize,26.6,58.4,4.18,8.8,1024.8,68.4,6.83,0,1,1,1.61,2,4,1
Soybean,23.4,69.2,0.14,13.5,1007.0,86.0,6.46,0,0,2,0.98,2,4,1
Rice,23.5,69.2,8.76,8.4,1006.9,96.6,6.32,1,0,0,2.08,1,9,1
Rice,32.7,66.7,9.39,6.7,1017.6,63.2,7.02,0,0,0,1.23,0,10,1
Groundnut,26.0,46.9,1.34,6.5,1009.5,71.3,6.84,0,0,2,2.61,2,2,1
Jowar,21.5,43.9,5.59,2.8,1020.3,8.2,7.12,2,2,2,0.53,2,9,1
Maize,24.6,62.9,6.93,14.6,1017.1,19.0,6.93,1,1,0,2.92,0,7,1
Groundnut,29.2,97.8,1.66,10.4,1015.2,59.6,7.17,0,1,0,0.81,1,5,1
Groundnut,20.5,66.5,0.0,10.6,1011.2,58.2,8.64,0,1,0,0.91,0,12,1
Maize,23.2,80.0,5.86,14.8,1017.4,32.9,5.88,1,0,1,2.39,0,7,1
Bajra,31.2,44.3,0.52,9.0,1016.3,95.3,6.48,1,2,2,1.51,2,4,1
Pulses,30.5,38.6,6.6,4.3,1014.6,27.0,4.99,2,1,1,1.63,0,7,1
Rice,32.5,79.2,7.02,14.4,1015.7,64.4,7.21,2,0,2,2.21,2,10,1
Jowar,30.8,58.9,0.0,8.6,1014.3,91.1,7.41,0,0,1,2.66,1,4,1
Pulses,20.1,49.2,6.25,3.9,1018.5,10.3,7.38,1,1,0,2.98,0,12,0
Groundnut,27.1,45.3,4.4,4.7,1020.1,1.9,6.78,2,2,1,0.76,2,5,1
Groundnut,27.1,68.0,6.25,14.1,1008.2,36.8,7.91,2,2,0,1.81,1,11,1
Rice,27.3,77.0,0.0,6.5,1012.1,20.5,5.87,1,1,1,1.41,1,2,0
Cotton,28.4,56.8,3.38,5.7,1018.8,1.5,7.62,0,1,2,2.54,1,4,1
Sugarcane,26.5,75.4,1.92,6.5,1015.4,3.8,5.93,2,0,0,2.14,1,4,1
Jowar,33.4,62.6,0.0,2.5,1008.8,96.9,6.41,0,1,2,1.58,2,9,1
Soybean,27.8,70.8,1.97,14.5,1013.2,66.0,5.62,1,2,0,0.81,2,11,1
Cotton,31.3,58.1,3.83,11.9,1005.7,50.1,7.71,2,1,0,0.54,2,3,1
Sugarcane,28.5,74.3,0.98,3.4,1013.1,83.0,6.36,0,0,2,2.28,0,10,1
Jowar,18.3,37.9,6.73,8.6,1015.6,10.5,6.19,1,2,0,2.04,0,11,1
Maize,22.9,72.8,5.09,13.5,1010.6,4.8,6.38,0,0,0,2.16,2,2,0
Jowar,25.5,44.9,1.98,11.8,1009.8,81.7,7.17,2,1,2,1.47,1,2,1
Sugarcane,26.0,63.3,3.99,3.1,1006.8,65.8,7.34,0,0,0,1.29,2,4,0
Cotton,30.5,68.0,3.03,8.3,1008.3,62.7,7.82,2,2,0,0.58,0,10,1
Sugarcane,22.0,56.1,2.26,14.0,1011.2,76.9,7.44,0,1,1,1.33,1,2,0
Cotton,28.9,79.2,2.86,4.0,1010.5,82.4,7.18,2,0,2,1.57,1,10,1
Groundnut,23.3,68.9,5.64,5.3,1016.9,16.0,5.69,1,2,0,1.26,0,6,1
Sugarcane,30.9,37.1,3.33,9.7,1014.8,25.8,7.27,0,2,0,2.61,0,7,1
Bajra,27.4,56.7,0.23,14.9,1024.2,87.6,7.69,2,0,2,3.0,1,10,1
Soybean,24.4,81.0,1.43,8.1,1014.0,57.6,5.81,2,1,2,1.07,0,10,1
Maize,30.1,48.3,7.7,6.6,1017.8,13.3,7.04,0,1,1,2.08,0,1,1
Jowar,18.2,69.6,0.0,4.1,1016.2,2.2,5.82,2,0,0,2.18,1,8,1
Cotton,30.2,67.8,0.39,11.6,1014.5,89.8,7.43,1,1,2,0.67,0,5,1
Jowar,13.1,61.9,0.0,4.0,1014.0,42.3,6.51,2,0,1,2.06,2,6,0
Wheat,27.8,55.7,2.43,6.4,1009.9,73.8,6.91,0,2,1,1.17,2,3,0
Sugarcane,29.2,46.8,4.37,2.3,1014.6,78.3,7.06,1,2,2,1.94,1,3,0
Jowar,25.5,60.8,0.0,2.6,1012.6,81.1,6.98,2,1,1,2.25,0,6,1
Wheat,20.1,48.9,2.61,7.9,1018.3,21.6,6.2,1,1,1,2.44,1,2,1
Cotton,24.9,42.3,2.62,13.3,1018.1,70.2,7.4,2,1,2,2.6,1,11,0
Soybean,26.1,65.0,2.89,14.7,1015.5,74.3,7.3,0,2,2,0.91,0,4,0
Groundnut,26.8,53.3,1.82,8.1,1020.4,87.4,6.74,2,1,1,1.16,0,4,1
Rice,26.5,62.1,3.75,7.9,1005.9,25.3,7.64,0,0,0,1.63,1,5,0
Jowar,21.8,89.5,3.62,11.4,1016.2,1.1,6.67,1,2,1,2.59,2,9,1
Soybean,21.0,76.6,2.72,8.0,1015.7,17.9,6.83,1,1,2,0.82,0,10,0
Groundnut,29.9,70.0,8.79,8.6,1015.1,58.2,6.82,1,2,1,0.97,1,3,1
Cotton,26.2,58.7,3.08,4.7,1018.7,20.8,8.31,1,2,1,2.02,0,3,1
Cotton,30.1,66.9,4.7,2.2,1007.5,16.6,7.05,0,0,2,1.19,1,3,1
Jowar,19.7,45.0,5.44,11.8,1008.1,4.6,6.05,0,2,0,2.56,1,5,0
Maize,25.9,73.7,5.24,12.3,1009.4,50.0,6.96,1,2,1,2.93,0,4,1
Groundnut,29.2,53.9,6.02,5.2,1015.3,91.0,7.1,0,0,2,2.22,0,2,0
Sugarcane,20.9,49.5,1.44,7.9,1014.5,6.2,7.87,1,2,1,0.98,1,5,1
Wheat,24.5,67.8,5.01,5.7,1011.4,20.7,6.68,1,2,0,2.07,2,10,0
Maize,27.8,45.1,5.41,5.8,1019.2,6.8,7.05,0,2,1,2.79,1,9,1
Wheat,22.4,62.7,3.93,9.3,1013.9,55.2,6.69,0,1,2,1.94,2,9,0
Sugarcane,25.3,47.7,5.17,10.3,1009.9,87.3,7.04,0,1,0,2.87,0,5,0
Cotton,22.7,65.3,3.14,9.4,1009.0,80.3,6.66,0,1,0,1.44,2,4,0
Jowar,26.6,44.4,1.47,9.9,1015.3,29.9,7.48,1,0,0,0.79,1,4,1
Sugarcane,23.2,64.0,5.54,7.4,1016.9,91.4,7.13,1,2,0,1.94,0,1,1
Cotton,28.4,37.0,1.9,9.0,1010.0,12.5,6.51,0,1,2,1.05,2,9,1
Rice,25.7,72.9,9.33,13.1,1018.1,24.7,6.5,0,0,2,1.03,1,4,1
Jowar,19.3,38.7,3.23,14.9,1013.9,66.5,6.55,1,0,1,0.63,0,11,0
Rice,24.7,82.2,10.68,14.0,1017.4,18.0,5.96,2,0,2,1.0,0,1,1
Wheat,21.9,44.9,0.28,12.4,1019.5,19.2,6.76,2,2,2,1.43,0,10,1
Cotton,26.0,61.7,4.04,2.5,1010.2,62.5,7.41,2,1,1,2.63,2,1,1
Groundnut,27.6,63.8,0.0,11.5,1013.4,58.5,9.18,2,0,2,2.32,2,12,1
Jowar,14.8,67.1,4.98,9.3,1019.6,35.5,7.15,0,1,1,2.93,1,4,1
Maize,23.1,72.2,4.55,5.4,1008.1,9.3,6.44,2,2,0,1.69,2,2,1
Sugarcane,28.7,53.1,3.39,7.6,1014.2,57.3,7.04,0,0,1,0.96,1,8,1
Sugarcane,24.4,66.5,1.57,10.0,1022.2,28.4,7.43,1,0,1,2.43,1,7,1
Pulses,30.6,44.9,6.44,11.7,1002.8,39.0,7.88,0,2,2,2.25,2,9,1
Pulses,20.9,75.6,3.09,11.9,1006.8,11.7,6.42,0,0,0,2.67,2,10,0
Pulses,31.1,65.6,6.17,10.3,1004.8,96.7,8.45,0,2,1,2.7,1,10,1
Wheat,15.9,54.8,1.37,10.7,1007.0,75.8,6.89,2,1,1,1.3,2,7,1
Maize,27.9,57.7,6.59,14.8,1015.0,90.6,5.63,1,1,0,1.84,1,12,1
Maize,23.3,57.3,3.41,9.0,1010.4,62.1,6.25,1,0,0,0.95,0,7,1
Jowar,29.9,61.5,3.78,5.7,1012.0,37.9,7.33,2,2,1,2.42,2,2,1
Wheat,18.7,52.2,1.16,13.2,1009.3,48.4,6.85,0,2,1,1.48,1,9,1
Cotton,30.1,64.5,2.94,11.4,1013.6,93.7,7.15,2,2,0,0.94,0,9,1
Groundnut,22.6,71.0,4.01,6.1,1010.4,26.6,6.96,2,0,2,2.14,0,10,1
Soybean,26.7,59.2,1.94,11.6,1012.7,29.4,6.74,0,0,1,1.94,0,9,1
Sugarcane,28.3,68.3,2.56,7.1,1002.1,59.6,6.54,1,1,0,2.44,2,4,1
Pulses,28.0,40.4,6.53,2.4,1015.4,34.1,5.92,0,1,0,0.56,2,8,1
Cotton,23.6,55.8,0.94,13.8,1018.4,29.1,7.62,2,1,0,0.8,2,1,0
Bajra,30.3,54.2,2.75,5.1,1016.5,83.0,6.67,1,0,0,0.76,1,10,0
Maize,29.9,56.0,6.67,10.4,1014.7,72.6,5.69,1,0,1,2.49,0,12,1
Pulses,13.3,55.6,0.0,13.4,1005.2,5.1,6.57,1,2,1,2.44,2,12,1
Rice,22.9,60.6,0.06,12.8,1003.8,77.5,6.32,0,2,0,1.2,1,5,0
Maize,25.0,49.6,5.77,3.8,1014.4,72.5,6.73,1,1,0,0.55,1,9,1
Groundnut,27.3,60.2,0.44,4.4,1021.2,46.8,7.02,0,2,0,2.41,0,4,1
Wheat,25.3,56.1,0.24,10.2,1013.6,14.6,7.11,0,0,2,1.57,0,5,0
Bajra,30.1,39.7,0.0,11.9,1013.1,46.1,8.19,2,2,2,2.24,1,12,1
Jowar,32.1,64.7,0.0,7.7,1016.6,39.0,7.1,0,2,0,2.33,0,9,0
Maize,29.6,66.7,5.25,3.2,1010.2,36.2,6.83,0,2,2,2.42,2,9,1
Cotton,26.6,62.1,2.29,6.5,1016.2,69.0,7.48,0,1,1,1.43,0,8,1
Wheat,23.3,65.3,2.25,4.2,1014.3,69.9,7.14,0,1,1,2.15,2,2,1
Groundnut,28.9,53.5,3.75,3.9,1017.2,4.0,7.23,2,2,0,2.92,1,10,1
Jowar,24.6,55.1,7.47,5.8,1006.9,70.2,5.73,2,1,2,1.54,2,6,1
Pulses,16.0,42.2,8.14,3.1,1004.5,78.3,5.06,2,1,0,1.69,2,3,1
Maize,25.9,70.5,0.0,2.4,1022.6,69.0,6.52,1,1,0,2.9,0,8,0
Jowar,21.9,53.1,0.0,8.8,1017.7,52.9,6.5,0,0,0,2.6,1,5,0
Wheat,22.5,57.4,0.13,7.0,1021.0,63.5,6.83,2,1,0,2.32,1,8,1
Soybean,29.0,57.6,8.34,6.4,1009.2,19.0,7.59,1,1,0,1.21,1,1,0
Cotton,24.8,83.4,0.4,10.9,1008.1,78.9,6.91,0,2,1,2.8,1,7,0
Rice,30.9,66.4,2.76,6.4,1012.1,89.2,7.08,2,1,0,1.31,0,11,0
Wheat,25.4,53.9,6.61,7.4,1011.2,26.9,5.93,2,2,1,1.98,0,3,0
Pulses,32.9,55.8,3.58,2.8,1014.1,52.2,6.67,0,0,0,2.28,0,12,1
Soybean,32.8,56.1,2.24,12.6,1012.3,23.3,7.53,2,2,0,2.6,1,9,1
Bajra,30.3,31.6,0.0,3.6,1018.2,1.0,7.35,2,2,0,1.54,2,11,1
Groundnut,25.7,62.9,4.91,7.9,1020.1,96.1,5.74,0,0,2,1.22,0,3,1
Groundnut,30.3,43.2,4.06,5.6,1008.6,46.8,6.76,0,2,0,1.8,1,3,1
Wheat,21.9,40.8,1.79,4.1,1012.0,78.8,7.55,1,2,1,1.35,2,10,1
Cotton,29.5,57.6,3.78,4.3,1020.0,7.9,7.05,2,2,1,1.08,0,9,1
Bajra,23.9,27.9,2.07,9.9,1013.1,76.2,7.4,0,1,0,1.48,2,6,0
Cotton,26.8,70.1,1.58,8.2,1003.9,92.6,6.84,0,2,1,2.26,0,4,1
Wheat,18.4,40.9,3.97,2.2,1012.0,23.0,6.72,2,2,2,0.61,2,5,0
Cotton,30.7,68.3,3.57,5.6,1010.8,92.2,7.42,1,0,1,2.78,0,4,1
Maize,26.8,67.4,4.24,11.0,1010.4,10.7,6.26,1,0,2,2.94,1,11,1
Pulses,32.5,51.6,4.7,6.3,1014.7,92.3,7.41,0,1,0,1.41,0,9,1
Jowar,21.7,85.4,0.0,8.3,1014.8,82.4,8.16,1,1,1,1.47,2,6,1
Wheat,23.4,59.8,1.01,13.0,1016.3,28.1,6.43,2,1,2,1.42,1,11,1
Groundnut,23.8,78.8,8.25,5.0,1013.5,0.6,6.52,1,0,0,2.52,2,11,1
Rice,29.1,78.9,7.93,9.5,1007.2,56.5,6.76,0,2,2,0.54,2,6,1
Bajra,26.8,26.9,1.0,5.5,1007.1,67.0,8.03,1,0,1,1.21,1,11,1
Jowar,15.9,64.0,2.33,2.9,1015.3,38.1,6.8,0,2,1,1.33,0,9,1
Rice,29.5,67.1,7.9,8.3,1015.3,28.3,6.1,0,0,1,2.67,2,8,1
Maize,25.4,70.2,3.3,7.7,1017.7,17.5,6.45,1,2,2,2.78,1,10,1
Rice,17.4,89.5,7.94,7.4,1013.3,15.2,5.87,0,2,2,1.52,2,5,1
Bajra,31.0,53.7,2.16,13.7,1021.3,57.6,7.52,2,1,2,2.98,0,4,0
Bajra,28.2,45.1,1.17,3.2,1020.7,50.0,7.82,2,1,1,1.29,1,9,1
Soybean,33.4,71.4,7.21,10.0,1003.6,31.1,8.38,0,2,1,0.94,0,2,1
Bajra,27.1,52.2,0.0,11.1,1013.9,14.9,6.56,2,2,2,1.34,1,5,1
Soybean,20.6,63.1,4.35,4.9,1012.6,96.0,6.85,1,0,2,2.54,0,4,1
Maize,29.1,70.6,2.66,8.1,1015.0,68.1,6.56,2,0,1,2.85,1,6,1
Groundnut,22.6,64.2,4.63,7.5,1011.0,71.1,7.56,0,0,2,2.88,1,12,1
Rice,26.5,68.0,10.12,5.3,1008.1,32.1,6.91,0,2,2,2.7,1,10,1
Soybean,24.6,66.9,0.0,12.4,1008.6,6.8,7.5,0,1,0,0.98,0,5,1
Maize,29.4,68.1,5.93,14.9,1025.4,99.6,5.28,2,0,1,0.53,2,7,1
Groundnut,31.4,57.5,3.97,12.4,1018.3,42.7,7.41,0,2,2,1.58,0,6,0
Jowar,28.9,71.3,3.1,7.9,1014.0,88.6,6.88,2,0,0,2.81,0,12,1
Sugarcane,32.6,37.2,2.1,5.6,1014.7,32.2,7.02,1,0,2,2.54,2,11,1
Rice,28.4,73.2,13.67,6.3,1005.9,97.9,6.85,1,2,1,1.72,2,3,1
Soybean,23.6,68.6,5.03,5.6,1022.2,78.0,8.07,0,2,0,2.57,0,10,1
Rice,27.4,71.8,12.57,10.9,1003.1,87.1,6.65,2,1,2,2.07,2,8,1
Jowar,32.5,55.0,2.47,6.3,1009.1,69.0,7.01,2,2,1,2.54,0,8,1
Groundnut,29.8,44.2,3.49,6.7,1016.6,50.8,5.51,0,0,2,0.65,1,2,1
Sugarcane,33.8,66.7,4.7,14.8,1011.3,51.5,6.43,2,1,0,2.62,1,2,1
Rice,28.6,74.3,5.85,9.3,1011.7,35.5,6.96,0,1,2,1.38,0,8,1
Bajra,19.8,39.5,1.73,7.9,1012.2,19.7,8.03,1,1,0,1.85,1,1,0
Groundnut,26.8,45.1,6.32,7.3,1008.8,37.9,6.67,0,2,0,2.99,2,11,0
Rice,26.7,63.3,6.46,9.1,1009.4,90.6,6.1,1,2,2,0.66,1,12,0
Maize,25.3,57.0,7.2,9.1,1019.3,82.6,7.4,1,0,1,1.97,2,3,1
Groundnut,21.1,73.2,4.71,8.7,1008.8,18.2,7.13,2,1,0,2.18,0,6,1
Rice,22.6,66.0,7.59,4.0,1015.4,96.9,6.15,2,0,2,2.49,2,10,1
Soybean,24.5,69.4,2.87,13.1,1002.7,41.3,7.27,0,1,0,1.84,2,6,0
Rice,29.2,76.1,8.0,12.1,1018.7,93.2,6.28,2,2,0,1.32,1,4,1
Sugarcane,20.7,33.8,0.26,6.2,1009.0,74.4,8.44,1,2,1,2.32,1,7,1
Soybean,31.4,82.9,0.76,12.1,1018.7,57.5,6.91,2,0,0,1.76,0,3,0
Cotton,27.5,56.7,2.26,13.6,1016.2,44.4,7.28,0,1,0,1.77,2,2,1
Pulses,30.1,84.9,1.4,10.1,1010.7,73.9,7.36,0,1,2,1.46,0,6,1
Cotton,29.9,65.6,0.89,12.6,1017.7,88.8,7.36,2,2,1,0.99,0,6,1
Cotton,31.3,54.5,8.6,3.2,1008.1,18.6,7.58,2,0,1,2.13,2,11,0
Soybean,21.5,81.1,0.1,10.2,1014.2,22.2,7.92,1,0,1,0.74,0,4,1
Groundnut,26.8,89.6,4.33,11.4,1017.8,12.5,8.06,1,2,0,2.4,2,3,0
Soybean,29.7,61.9,0.43,11.9,1014.3,59.2,6.0,2,0,1,2.65,0,2,0
Maize,27.8,67.5,1.42,4.9,1010.0,59.7,6.07,0,2,2,0.67,0,12,0
Cotton,26.8,55.6,3.91,13.3,1002.8,41.9,7.61,2,1,2,2.7,2,2,1
Soybean,17.5,46.7,0.0,6.8,1014.8,21.5,7.58,0,2,1,0.99,0,8,1
Jowar,30.8,56.3,4.0,12.7,1015.9,77.2,6.68,0,2,2,2.47,1,8,0
Soybean,23.3,69.6,1.57,5.5,1012.0,39.8,7.2,0,0,1,2.27,2,4,1
Pulses,28.0,50.2,4.95,3.6,1009.9,67.2,6.89,0,1,0,1.04,1,5,1
Pulses,22.0,72.0,0.0,8.7,1010.8,29.7,7.08,1,1,0,2.85,0,9,0
Rice,28.8,79.8,2.73,13.1,1013.4,20.6,6.7,0,2,2,0.82,2,6,0
Bajra,26.4,37.7,2.34,11.3,1011.1,27.2,7.13,2,2,1,0.7,0,5,0
Soybean,23.5,38.2,0.0,5.9,1017.0,62.4,7.55,2,2,1,2.57,0,5,0
Bajra,27.0,40.8,2.43,14.4,1012.5,63.6,7.46,2,2,0,1.34,0,2,0
Soybean,30.9,46.5,2.1,10.3,1008.9,92.9,7.39,1,0,2,2.17,0,11,1
Cotton,27.2,55.0,0.51,10.4,1016.0,4.7,7.49,0,2,1,1.06,2,5,1
Soybean,32.0,53.9,7.55,11.8,1010.6,15.3,8.6,1,2,2,0.74,0,7,0
Wheat,20.8,51.2,5.17,11.2,1019.2,35.9,7.01,0,1,0,1.49,2,8,0
Maize,28.0,75.6,1.05,4.5,1011.0,97.1,6.21,2,2,0,2.27,0,11,0
Rice,26.0,60.3,10.95,13.3,1005.8,40.3,6.51,1,2,0,1.12,0,6,0
Sugarcane,27.9,51.5,5.97,12.0,1012.2,48.3,7.33,1,1,0,1.29,0,3,0
Rice,30.4,77.5,9.25,12.0,1017.6,77.8,5.95,0,2,2,2.15,1,7,1
Cotton,25.4,57.4,6.37,4.1,1021.8,17.8,6.44,1,2,2,2.62,2,3,0
Jowar,15.5,54.8,3.66,4.8,1002.5,11.5,6.68,2,1,0,1.69,2,3,1
Pulses,28.0,63.8,0.15,11.5,1015.5,0.8,6.61,0,1,2,2.1,0,6,0
Maize,27.7,62.7,2.98,9.3,1022.0,17.5,6.25,1,1,1,1.75,0,2,1
Maize,24.4,82.6,3.34,10.6,1011.4,41.1,7.2,0,2,1,0.7,2,5,1
Soybean,24.6,69.3,2.69,13.4,1014.9,97.8,7.72,1,1,1,0.95,2,11,0
Bajra,26.5,50.3,0.0,14.4,1020.5,60.2,7.85,1,1,0,1.86,2,1,1
Groundnut,31.1,94.8,1.02,5.1,1013.9,12.3,6.05,1,2,0,1.55,2,12,1
Maize,28.6,76.6,4.48,10.3,1017.1,0.3,6.49,1,1,2,1.06,2,3,1
Maize,23.6,83.3,8.34,2.7,1010.3,14.0,6.32,0,1,2,1.89,1,2,1
Soybean,27.5,73.0,0.0,3.7,1011.6,19.1,6.13,2,2,2,2.08,0,1,1
Maize,29.3,73.7,5.01,14.4,1019.2,54.3,6.51,0,1,2,1.6,2,12,1
Jowar,24.3,52.1,4.1,9.5,1009.7,36.5,6.0,2,0,1,1.17,2,6,1
Sugarcane,15.2,57.5,1.91,9.3,1011.2,84.8,6.71,0,2,0,1.09,2,3,1
Rice,29.2,72.4,8.18,9.0,1015.4,8.1,6.11,2,1,1,1.48,2,4,1
Soybean,30.0,61.3,2.98,12.0,1017.5,83.7,7.25,1,2,1,0.95,2,3,0
Cotton,25.2,47.2,2.93,8.9,998.1,82.0,7.54,1,1,2,2.35,2,1,1
Maize,29.3,51.3,3.17,13.8,1013.8,70.2,6.04,2,0,0,1.72,2,11,1
Pulses,30.2,39.8,2.6,6.1,1014.4,70.2,7.22,1,1,1,2.99,2,10,0
Pulses,34.8,47.4,2.02,10.5,1014.2,51.8,6.34,0,1,0,0.64,2,3,0
Pulses,31.5,46.6,5.99,12.0,1015.8,80.4,7.73,2,0,2,1.0,2,8,0
Jowar,30.4,55.8,2.23,13.4,1001.6,86.7,5.7,0,1,0,1.61,1,6,1
Groundnut,28.2,74.6,1.4,4.1,1015.6,71.2,7.21,2,1,0,2.55,0,11,1
Sugarcane,27.4,87.1,2.75,14.1,1017.4,6.7,8.07,1,1,1,2.23,1,1,1
Sugarcane,29.7,58.1,1.89,8.6,1013.0,58.6,5.81,1,2,1,2.28,0,3,0
Rice,35.5,68.2,2.55,10.3,1013.8,10.9,6.11,2,2,2,1.86,2,6,0
